task_name,task_family,id,definition,inputs,targets
task761_app_review_classification,Sentiment Analysis,task761-5c592de980564682982cf4046193a484,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".","""""No data"""""""""""""""""""""""""""""""" after upgrading to Android N CurrentWidget have served me well for a long time. However  after a system upgrade to Android N the widget just tells me """"""""""""""""""""""""""""""""no data"""""""""""""""""""""""""""""""" when I try to read charge or discharge current. So as of now it's unusable  but hopefully a fix is on its way.""""",Negative
task761_app_review_classification,Sentiment Analysis,task761-2d30e523ac2547308e01e683dd91b91d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Awesome app Has never really let me down. Couple it with an app that shoots audio straight to your headphones  and you can enjoy your day with minimal phone checking.,Positive
task761_app_review_classification,Sentiment Analysis,task761-044ea015c94c46e38000519aff492be5,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great!,Positive
task761_app_review_classification,Sentiment Analysis,task761-d5928c4d1fc7489cbf7a3bdcec3b2ad6,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Widget won't even open So I read all the instructions  but when I go to add the widget to my home screen a settings box opens up  and I can mess with all the settings  but there's nothing to indicate how to be done with the settings  or apply the changes  and hitting the back button or home button closes the settings and there is no widget on the home screen.,Negative
task761_app_review_classification,Sentiment Analysis,task761-9c5eb757d8e64940b52a5d378831174d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Does not work on Lollipop Nexus 4&7 Worked perfectly on Android KitKat on Nexus devices perfectly. Hope developer addresses this.,Negative
task761_app_review_classification,Sentiment Analysis,task761-58e53488ae334b4daa51c8f6e2849393,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Love to use it Awesome app very useful,Positive
task761_app_review_classification,Sentiment Analysis,task761-772c0d05468c43418d064a312961705e,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great app Announces over Bluetooth. Announces data warnings. Can sit the phone on the coffee table (or wherever) and it tells you what your phone is getting.,Positive
task761_app_review_classification,Sentiment Analysis,task761-d6967fd8e5bc4d97b67a3218aa766eef,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".","No Data keeps showing """"""""""""""""""""""""""""""""no data"""""""""""""""""""""""""""""""" even after refreshing multiple times...""""",Negative
task761_app_review_classification,Sentiment Analysis,task761-b59aeee21c664d7dbb0faaf2598febe8,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Bill1959 Awesome,Positive
task761_app_review_classification,Sentiment Analysis,task761-91fa097c70a844f2969237ddd9699c5b,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Good and usefull,Positive
task761_app_review_classification,Sentiment Analysis,task761-eae311fe43984d20a73ceb5fae5d0893,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't read amps No real status bar options,Negative
task761_app_review_classification,Sentiment Analysis,task761-36ea20642dcc4965887b1d812166618d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Worst,Negative
task761_app_review_classification,Sentiment Analysis,task761-2b9a670aa79449f08bf9d2db6341a264,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't work at all. Worked fine on my Galaxy s4. Doesn't work at all on my new Note 5. Widget won't stick. Drag the widget where you want it  options screen comes up. Set options  close and the widget disappears.,Negative
task761_app_review_classification,Sentiment Analysis,task761-7f741088b0cd415db2cd17e97baac040,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Not working... Useless... Not working on Galaxy S4.,Negative
task761_app_review_classification,Sentiment Analysis,task761-666ae75c44434a78bf32529b6266be34,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great update! Really nice UI  and now is possible to see even hidden channels. I've missed that before. Thanks!,Positive
task761_app_review_classification,Sentiment Analysis,task761-a44ce95c61f94975ba2f40d11753b362,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",This version (0.9.8) is terribly outdated. I did not notice until it stopped working after the Android 7 update. The version on F-Droid (0.11.7) works  has an updated interface and also features automatic reconnection.,Positive
task761_app_review_classification,Sentiment Analysis,task761-12cb0a3af66d404babcf1e95743dcd41,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Nice Its real koo,Positive
task761_app_review_classification,Sentiment Analysis,task761-d64a0ee818044f51bb810529a24d8272,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Modifies web browser Immediately after installing this I found my web pages in Dolphin (default browser) covered with those annoying double underlined spam links. Immediately after removing the app the links went away. I don't mind in app advertising or splash screens but don't hijack my browser!,Negative
task761_app_review_classification,Sentiment Analysis,task761-5fe079ff7870402ea4f5c403e11c5f8f,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Samsung note 3 neo ok,Positive
task761_app_review_classification,Sentiment Analysis,task761-aff9583a74894262a204bf69df4961aa,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",It doesn't display electric current  but another app does...,Negative
task761_app_review_classification,Sentiment Analysis,task761-f0bddd137bb14be8814f615042664537,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",NYC app Used various app for speaking notification but this is the best in the slot and most reliable,Positive
task761_app_review_classification,Sentiment Analysis,task761-33de51787c924f3fa3e2f6fa2f25ccba,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Shows up in Widget list  but can't add it to a home screen. Using a Nexus 5 on Marshmallow (Android 6.0).,Negative
task761_app_review_classification,Sentiment Analysis,task761-0b2c488e09fb4e4eb0fcf83681fd8705,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",A God send! Awful interference problem with my 868MHz central heating system. 20min with this app and an rtlsdr dongle tracked the problem to an old controller with a near flat battery transmitting a continuous unmodulated carrier.,Positive
task761_app_review_classification,Sentiment Analysis,task761-9c32b931f4414440aa06f9357df81274,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Crashes with in 10 seconds I cant even use this for more then 15 seconds,Negative
task761_app_review_classification,Sentiment Analysis,task761-0073c6cb98644f4a9ffbbc5c4dfac75d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Not working on samsung note 2 and note 3,Negative
task761_app_review_classification,Sentiment Analysis,task761-3af5bea29e424ebc95ba5399aa27206b,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",doesn't support oneplus one,Negative
task761_app_review_classification,Sentiment Analysis,task761-f8016e1bf4c24d2ea9591b170cb85812,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Crap! Doesnt even work!,Negative
task761_app_review_classification,Sentiment Analysis,task761-5b92b18bfb18424f92735214b6a4d457,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Ine Good,Positive
task761_app_review_classification,Sentiment Analysis,task761-013e57b3e94d4ac7aa32362b70277831,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Awesome and epic This application is awesome. This worked with my USB dongle.,Positive
task761_app_review_classification,Sentiment Analysis,task761-51dd028e3732433da9cb3d63891b0c91,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Difficult to use. Plz make it simple,Negative
task761_app_review_classification,Sentiment Analysis,task761-9759c4e1c2b24ce280d20d2fa7fbe9a4,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Works great with rtl Sdr and HTC one x Thanks very much.,Positive
task761_app_review_classification,Sentiment Analysis,task761-c4ecf7bcbd104bbfa006e20d49673170,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Excellent app Exactly what I needed for my phone. Excuse me please  I have one problem and that is with the volume. It is very low when analyzing.,Positive
task761_app_review_classification,Sentiment Analysis,task761-c2cf5b167eb8432091b431d0d29303e4,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't work on Samsung galaxy s3 I heard great things about this and how it could help me calibrate my battery.. It doesn't work at all.. No widget  no nothing..,Negative
task761_app_review_classification,Sentiment Analysis,task761-8dc2e98df9c74fe28ed049995b1c75dd,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Does nothing,Negative
task761_app_review_classification,Sentiment Analysis,task761-bce3a7f234c54fb3893add98dc468cc4,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Fake? It's always shows around 800mA  changes value on refresh. Just noticed today it shows the same value when not plugged into charger.,Negative
task761_app_review_classification,Sentiment Analysis,task761-3280a877053a4dcf8f876cd0c6e68b61,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Does not work Did not work with my rtl-sdr,Negative
task761_app_review_classification,Sentiment Analysis,task761-88ca2f3bcc4646679efec983866a93e7,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Have used it for years Simple and does the job  ad free too. Made a small donation. Would love an update that allows reading of caller names/numbers.,Positive
task761_app_review_classification,Sentiment Analysis,task761-602802447eb9481d9016d91aee0e9383,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Nothing Shows nothing for ma.,Negative
task761_app_review_classification,Sentiment Analysis,task761-b66e64b032b04d38809b1d6798dbd173,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Suspicious access Why require access to media?,Negative
task761_app_review_classification,Sentiment Analysis,task761-5d3c681e9ed24e07be43127ddf18e82b,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",I would love if you can incorporated call announcer into it.,Positive
task761_app_review_classification,Sentiment Analysis,task761-d904b884c1794c8dacbec2f38b6209ab,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",No longer works Used to be the best notification reader  but it has stopped reading notifications...,Negative
task761_app_review_classification,Sentiment Analysis,task761-b0cf7e7ff5f44a119b39ca647188e35f,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Fantastic app! I highly recommend it! 'Voice Notify' is an essential app for anyone  but especially useful for someone such as myself who has dexterity difficulties  also has a SCI & is a fulltime wheelchair user. I do not have to look at my phone to know what is happening. VN is very customisable  eg  you can stop some FB group messages by putting the group name or a word in the 'ignored text' option in VN settings. Wish 'Email' said who was sending the emails like 'Gmail' does. Unfortunately on my new Note4  VN keeps being 'disabled'!?! Such a pain for an essential app! ?,Positive
task761_app_review_classification,Sentiment Analysis,task761-92c17b8a68994af899b17eb8ed081702,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great app Very small in size and very reliable,Positive
task761_app_review_classification,Sentiment Analysis,task761-cb7f69f1ac3449008c251842ac999731,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",IPhone Works great on my Samsung wish you made it for iphone,Positive
